author_id;text;retweet_count;reply_count;like_count;quote_count;id;created_at
737768670;Después de estos días tan pesados, estoy muy satisfecha de haber podido participar en algo así. Brigada de vacunación contra COVID-19. #NurseLife 💉 https://t.co/87pRdDGndj;0;4;39;0;1377083889764732928;2021-03-31T02:22:38.000Z
1055115865937592320;Si no lograste obtener turno para esta Jornada de Vacunación, es importante no arriesgarse y no asistir, podrás registrarte en las próximas etapas. https://t.co/mqWyZ7D7is;0;0;1;1;1377083391795945473;2021-03-31T02:20:40.000Z
1353608407;@rosy1alex A mi, de contagiarme de covid-19 y la verdad me amo mucho ✌️;0;0;1;0;1377082955613544448;2021-03-31T02:18:56.000Z
70855503;@rocioglzm Yo le daré a las 9pm. Hoy tocó vacuna de mi mamá a la hora del gym pero aprovecharé la motivación extra. Venga!;0;1;1;0;1377082902224240642;2021-03-31T02:18:43.000Z
1080091835526111232;@kui85 Gracias por escribir. Te informamos que el horario de vacunación será de 9:00 a 17:00 horas. El Gobierno de Tlalnepantla trabaja por ti.;0;1;0;0;1377082412522438659;2021-03-31T02:16:46.000Z
151860263;@Marin_Leo Secuelas COVID o la edad? Jajajajajaj;0;1;0;0;1377081309215010816;2021-03-31T02:12:23.000Z
133951716;@JoseCardenas1 Ja Ja Ja, que payasada es esa?, esa mujer falseó las cifras de fallecimientos por COVID de una manera grotesca, eso es motivo suficiente para no ser considerada a ese premio y para considerar su gestión como desastrosa.;0;0;0;0;1377081290315403264;2021-03-31T02:12:19.000Z
379842988;Reporte diario de COVID-19. Quédate en Casa 🏡💙 https://t.co/MWixNNYcXC;0;0;1;0;1377079668701073411;2021-03-31T02:05:52.000Z
127750972;#ya viene Semana Santa y dicen que la tercera ola de Covid, aún así, las personas tratarán de divertirse pensando que tendrán buena suerte y no se contagiarán;0;0;0;0;1377079658718564354;2021-03-31T02:05:50.000Z
172272669;@marthadebayle @DrPacoMoreno1 Sasque? Me dio COVID en octubre y hace una semana me realicé la prueba de anticuerpos y tengo 60 copias y me comentó el doctor que estoy con más refuerzos que con vacuna. Soy bendecido;0;0;1;0;1377079510378627072;2021-03-31T02:05:14.000Z
54368728;@Cantusinmas Los chairos morirán porque van a salir en semana santa y desaparecerá la mayoría de ellos por #COVID19 y su gran estupidez;0;1;1;0;1377077941125931009;2021-03-31T01:59:00.000Z
184122421;@TriptoFainus Tristemente así será, no terminamos de entender que es una pandemia , que falta mucha gente de vacunar y que tampoco están exentos  de contagiarse.;0;0;1;0;1377077161270607876;2021-03-31T01:55:54.000Z
